255:N(1795),HP(8179),HM(9973),HA(10043),LM(13898),LP(14220),LA(16845)
256:N(1400),HP(6238),HM(7637),HA(7686),LA(10673),LP(10693),LM(10994)
257:N(536),HP(2208),HM(2743),HA(2784),LM(3775),LP(4036),LA(4250)
258:N(1637),HP(7429),HA(9047),HM(9065),LP(12691),LM(14149),LA(14401)
259:N(1824),HP(3648),HM(5471),HA(6662),LM(7290),LA(14988),LP(1668046)
260:N(1372),HP(6145),HM(7516),HA(7602),LM(10666),LP(11168),LA(11222)
261:N(231),HP(900),HA(1111),HM(1130),LP(1467),LM(1585),LA(1719)
262:N(1589),HP(7088),HM(8676),HA(8797),LP(11508),LM(14238),LA(14514)
263:N(638),HP(2656),HM(3293),HA(3365),LM(4912),LP(4940),LA(5505)
264:N(1064),HP(4639),HM(5702),HA(5714),LP(7809),LA(8012),LM(8278)
265:N(918),HP(3963),HA(4854),HM(4880),LP(6821),LA(7556),LM(7650)
266:N(890),HP(3850),HM(4739),HA(4762),LP(6200),LM(6817),LA(7323)
267:N(1978),HP(8951),HM(10928),HA(11041),LM(16123),LA(17253),LP(17752)
268:N(1533),HP(6819),HM(8351),HA(8521),LP(11586),LM(12878),LA(13358)
269:N(893),HP(3816),HM(4708),HA(4789),LP(6565),LA(6962),LM(7202)
270:N(1026),HP(2054),HM(3079),HA(3768),LM(4092),LA(8302),LP(528901)
271:N(263),HP(1056),HA(1297),HM(1318),LA(1635),LM(1722),LP(1793)
272:N(1818),HP(8273),HA(10015),HM(10090),LP(13939),LA(14278),LM(15944)
273:N(614),HP(2558),HM(3171),HA(3220),LP(4357),LA(4435),LM(4615)
274:N(1685),HP(7510),HM(9194),HA(9364),LP(11535),LM(13757),LA(14461)
275:N(810),HP(3485),HA(4240),HM(4294),LP(5586),LA(6550),LM(6605)
276:N(715),HP(3027),HM(3741),HA(3795),LA(5366),LM(5446),LP(5671)
277:N(1560),HP(7034),HM(8593),HA(8677),LM(13000),LA(13333),LP(13613)
278:N(1076),HP(4702),HM(5777),HA(5837),LM(7783),LP(8020),LA(8861)
279:N(1189),HP(5285),HM(6473),HA(6484),LA(8893),LM(9318),LP(9624)
280:N(194),HP(720),HM(913),HA(935),LP(1005),LA(1335),LM(1349)
281:N(1663),HP(7493),HM(9155),HA(9262),LP(12516),LM(13851),LA(15740)
282:N(307),HP(1236),HA(1536),HM(1542),LP(1855),LM(1995),LA(2050)
283:N(1172),HP(5154),HM(6325),HA(6372),LP(7888),LA(9446),LM(10083)
284:N(145),HP(536),HM(680),HA(689),LP(768),LA(826),LM(902)
285:N(21),LP(62),HP(63),LM(81),HA(82),LA(83),HM(83)
286:N(172),HP(645),HM(816),HA(820),LM(1016),LA(1122),LP(1130)
287:N(331),HP(1306),HA(1633),HM(1636),LP(1902),LM(2357),LA(2646)
288:N(1932),HP(8865),HM(10796),HA(10817),LA(14643),LM(15712),LP(16406)
289:N(1903),HP(3805),HM(5708),HA(6978),LM(7859),LA(16114),LP(1815460)
290:N(419),HP(1714),HA(2118),HM(2132),LM(3107),LP(3119),LA(3396)
291:N(1335),HP(5941),HM(7275),HA(7342),LP(9125),LM(10339),LA(11416)
292:N(1352),HP(6019),HM(7370),HA(7398),LP(9746),LA(10796),LM(12072)
293:N(1149),HP(5107),HA(6197),HM(6255),LA(9197),LP(9367),LM(10579)
294:N(599),HP(2475),HM(3073),HA(3138),LP(4326),LA(4774),LM(4779)
295:N(1174),HP(5069),HM(6242),HA(6343),LA(9781),LM(9915),LP(11142)
296:N(554),HP(2294),HA(2832),HM(2847),LP(3625),LM(3820),LA(3898)
297:N(779),HP(1557),HM(2335),HA(2840),LM(3113),LA(5386),LP(305366)
298:N(914),HP(3933),HM(4846),HA(4863),LM(6916),LP(6951),LA(7346)
299:N(507),HP(2091),HM(2597),HA(2604),LP(3520),LM(3773),LA(3773)
300:N(1142),HP(4927),HM(6068),HA(6191),LA(8944),LP(9021),LM(10217)
301:N(387),HP(1555),HM(1941),HA(1946),LP(2473),LM(2820),LA(2913)
302:N(1379),HP(6129),HM(7507),HA(7593),LA(10878),LP(11310),LM(11889)
303:N(672),HP(2883),HA(3478),HM(3554),LP(4594),LM(5321),LA(5737)
304:N(1587),HP(7101),HM(8687),HA(8744),LP(12144),LA(13416),LM(13741)
305:N(86),HP(309),HM(394),HA(396),LP(473),LM(477),LA(533)
306:N(1578),HP(7050),HM(8627),HA(8774),LP(12273),LM(13743),LA(14187)
307:N(350),HP(1405),HM(1754),HA(1758),LM(2209),LP(2389),LA(2426)
308:N(796),HP(3395),HM(4190),HA(4246),LP(5383),LM(6317),LA(6403)
309:N(1484),HP(6662),HM(8145),HA(8146),LM(11876),LP(12268),LA(13200)
